label,value,country
코넬런 공항,AYQ,오스트레일리아
콘스탄짜 미하일 코갈니쵸누 국제공항,CND,루마니아
Contador 공항,PTX,콜롬비아
쿠버페디 공항,CPD,오스트레일리아
쿡타운 공항,CTN,오스트레일리아
쿨랑가타 공항,OOL,오스트레일리아
쿠웅 공항,VCS,베트남
코펜하겐 지역공항 ,CPH,덴마크
코르도바 공항,ODB,스페인
코르푸 국제공항 ,CFU,그리스
코크 국제공항,ORK,아일랜드
코르루 공항 ,TEQ,터키
커널 루이즈 공항,CIX,페루
카피탄 FAP 카를로스 치리아니 산타 로사 공항,TCQ,페루
커널 펠리페 바렐라 공항,CTC,아르헨티나
콜로널 프란치스코 세카다 공항,IQT,페루
코퍼스크리스티 국제공항,CRP,미국
코라도 바카리니 공항,GRS,이탈리아
코래도 젝스 공항,AOT,이탈리아
코룸바 국제공항,CMG,브라질
코보 공항,CVU,포르투갈
코트 다쥐르 공항,NCE,프랑스
Cotopaxi 국제공항,LTX,에콰도르
코즈멜 국제공항,CZM,멕시코
크라이오바 공항,CRA,루마니아
크랜브룩 캐나디안 록키 국제공항,YXC,캐나다
크리스토포로 콜롬보 공항 ,GOA,이탈리아
코로톤 공항,CRV,이탈리아
크라운 포인트 국제공항,TAB,트리니다드토바고
크루제이루도술 공항,CZS,브라질
쿠바타오 공항,JOI,브라질
쿠다파 공항,CDP,인도
쿠요 공항,CYU,필리핀
D.Z 로무알데즈 공항,TAC,필리핀
다낭 국제공항,DAD,베트남
다보림 공항,GOI,인도
대구 국제공항,TAE,대한민국
다구오쿤 공항,SJW,마카오
다클라 공항,VIL,모로코
달라 공항,BLE,스웨덴
달라만 공항,DLM,터키
달반딘 공항,DBA,파키스탄
달리 공항,DLU,중국
다롄 쩌우쉬이지 국제공항,DLC,중국
달라스 포츠워스 국제공항,DFW,미국
댈러스 러브필드,DAL,미국
달마 공항,ZDY,UAE
단둥 공항,DDG,중국
데인 카운티 공항,MSN,미국
다니엘 후르킥 공항,RCQ,아르헨티나
대니얼 오두버 국제공항,LIR,코스타리카
대청 야딩 공항,DCY,중국
다칭 사르트누 공항,DQA,중국
다르에스살람 국제공항,DAR,탄자니아
다윈 국제공항,DRW,오스트레일리아
다쉿 나즈 공항,SRY,이란
다퉁 공항,DAT,중국
다웃드미 국내공항,DWD,사우디아라비아
Dayrestan 공항,GSM,이란
데이토너비치 국제공항,DAB,미국
대주 허시 공항,DAX,중국
디어 레이크 지역 공항,YDF,캐나다
델바지오 공항 ,BJX,멕시코
델린가 공항,HXD,중국
데모크리토스 공항,AXD,그리스
덴버 국제공항 ,DEN,미국
드라 카지칸 공항,DEA,파키스탄
데라이스마일칸 공항,DSK,파키스탄
디모인 국제공항,DSM,미국
디트로이트 메트로폴리탄 웨인 카운티 공항,DTW,미국
데비 아힐야바이 홀카 국제공항 ,IDR,인도
데번포트 공항,DPO,오스트레일리아
디아고라스 공항,RHO,그리스
디종 롱빅 공항 ,DIJ,프랑스
디마푸르 공항,DMU,인도
드미트리오스 비켈라스 공항 ,JSY,그리스
디오니소스 솔로모스 공항 ,ZTH,그리스
디오리 히머니 국제공항,NIM,니제르
디폴로그 공항,DPL,필리핀
디칭 샹그릴라 공항,DIG,중국
디우 공항,DIU,인도
디야르바키르 공항,DIY,터키
드네프로페트로브스크 국제공항,DNK,우크라이나
닷지 시티 지역공항,DDC,미국
도하 국제공항,DOH,카타르
돌 타보 공항,DLE,프랑스
돌로미티 공항 ,BZO,이탈리아
도모도데보 국제공항,DME,러시아
방콕 국제공항 ,DMK,태국
동호이 공항,VDH,베트남
동 탁 공항,TBB,베트남
동잉 공항,DOY,중국
도르테스 히요 엘루아이 국제공항,DJJ,인도네시아
도르트문트 공항,DTM,독일
도탄 지역공항,DHN,미국
두알라 국제공항,DLA,카메룬
닥터 구아스토 바이디잘 공항,MII,브라질
암베드카 국제공항 ,NAG,인도
드레스덴 클로츠 공항,DRS,독일
두바이 국제공항,DXB,UAE
두보 공항,DBO,오스트레일리아
더블린 국제공항,DUB,아일랜드
두브로브니크 공항,DBV,크로아티아
더뷰크 지역공항,DBQ,미국
던디 공항,DND,영국
두네딘 국제공항,DUD,뉴질랜드
둔황 공항,DNH,중국
두옹 당 공항,PQC,베트남
두쿰 공항,DQM,오만
두랑고 라플라타 카운티 공항,DRO,미국
더햄티즈 공항 ,MME,영국
다이스 공항,ABZ,영국
쟈우지 파만지 공항,DZA,마요트
이글카운티 지역공항,EGE,미국
이스트런던 공항,ELS,남아프리카
에흐테르뎅겐 공항,STR,독일
에든버러 공항,EDI,영국
에드먼턴 국제공항,YEG,캐나다
에드레밋 코르페즈 공항,EDO,터키
에두와르토 고메즈 공항,MAO,브라질
폼퓨라오 공항,EDR,오스트레일리아
에드워즈 카운티 공항,ECU,스페인
엘데 공항,GRQ,네덜란드
에질스타더 공항,EGS,아이슬란드
에글린튼 공항,LDY,영국
에인트호벤 공항,EIN,네덜란드
에진 배너 도라이 공항,EJN,중국
엘 알토 공항,LPB,볼리비아
엘 알토 국제공항,LBP,말레이시아
엘바그레 공항,EBG,콜롬비아
El Bayadh Airport,EBH,알제리
엘 카디럴 공항 ,JUJ,아르헨티나
엘 카라노 공항,UIB,콜롬비아
엘 에덴 공항,AXM,콜롬비아
엘 엠부르조 공항,PVA,콜롬비아
엘 마오우 공항,SFA,튀니지
엘 노흐자 공항,ALY,이집트
엘 팔로마 공항,EPA,아르헨티나
엘패소 국제공항,ELP,미국
엘 풀루메릴로 공항,MDZ,아르헨티나
엘 퍼쿠 공항 ,FMA,아르헨티나
엘 타진 내셔널공항,PAZ,멕시코
엘 테휴엘체 공항,PMY,아르헨티나
엘 여팔 공항,EYP,콜롬비아
엘라지그 공항,EZS,터키
엘도라도 공항,BOG,콜롬비아
엘도렛 공항,EDL,케냐
엘레프테리오스 베니젤로스 국제공항,ATH,그리스
엘라트 공항 ,ETH,이스라엘
엘링튼 공항,EFD,미국
엘마스 공항,CAG,이탈리아
엘로이 알파로 국제공항,MEC,에콰도르
엘타리 공항,KOE,인도네시아
에머럴드 공항,EMD,오스트레일리아
Enfidha-Hammamet 국제공항,NBE,튀니지
에니스 빅 스카이 에어포트,EKS,러시아
에논테키외 공항,ENF,핀란드
엔리케 울라야 헤레라 공항,EOH,콜롬비아
안사임 공항,SCN,독일
엔시 서가핑 공항,ENH,중국
엔테베 / 캄팔라 국제공항,EBB,우간다
앙쯔하임 공항 ,SXB,프랑스
에플리 필드,OMA,미국
에르빌 국제공항,EBL,이라크
Erenhot Saiwusu 국제 공항,ERL,중국
에르푸르트 공항,ERF,독일
에릭 닐슨 화이트호스 국제공항,YXY,캐나다
에르네스토 코르티쇼즈 공항,BAQ,콜롬비아
에로스 공항,ERS,나미비아
에르진잔 공항,ERC,터키
에르주룸 공항,ERZ,터키
에 세니아 공항,ORN,알제리
에스비에르 공항,EBJ,덴마크
에센보가 공항,ESB,터키
에스페란스 공항,EPR,오스트레일리아
에스퀄 공항,EQS,아르헨티나
에션던 공항,MEB,오스트레일리아
유진 공항 ,EUG,미국
에우제니오 M. 데 호스토스 공항,MAZ,푸에르토리코
에우리코 살레즈 공항,VIX,브라질
유로공항,BSL,스위스
에번즈빌 지역공항,EVV,미국
에벨리오 하비에르 공항,EUQ,필리핀
에베네스 공항,EVE,노르웨이
엑서터 국제공항,EXT,영국
파아 공항,PPT,프랑스령폴리네시아
Faaite 공항,FAC,프랑스령폴리네시아
파비오 알베르토 레옹 벤틀레이 공항,MVP,콜롬비아
페어뱅크스 국제공항,FAI,미국
페어우드 커몬 공항,SWS,영국
피살라바드 국제공항,LYP,파키스탄
